Iteration,Loss
1,1.0418660825150872
2,1.011310254245303
3,0.98012228895134
4,0.9483097571663387
5,0.9158825281057975
6,0.8828526007293285
7,0.8492341918090587
8,0.8150435203355006
9,0.7802988468010643
10,0.7450203131955319
11,0.7092298137687376
12,0.6729508942820042
13,0.6362085720247588
14,0.599029235592079
15,0.561440404073874
16,0.5234707312630028
17,0.4851497658479646
18,0.4465078864095475
19,0.4075761712935819
20,0.3683863379970914
21,0.3289706509080569
22,0.2893619098188746
23,0.24959337294807685
24,0.2096988154291653
25,0.16971246857520084
26,0.12966910349331515
27,0.08960402693269075
28,0.049553172995659145
29,0.009553121089466843
30,-0.030358794362842067
31,-0.07014444607563128
32,-0.10976483883912463
33,-0.14918000369264472
34,-0.188348931747548
35,-0.2272294938270193
36,-0.2657782811807674
37,-0.30395059614934383
38,-0.3417003026508872
39,-0.3789797634271235
40,-0.41573980760481155
41,-0.4519297770361698
42,-0.48749761999389496
43,-0.5223901289546853
44,-0.556553192721208
45,-0.5899322341752664
46,-0.6224726455587373
47,-0.6541203673990165
48,-0.6848225255265216
49,-0.7145281719079015
50,-0.7431891757472087
51,-0.7707611990979351
52,-0.7972048107363606
53,-0.822486789201313
54,-0.846581391404832
55,-0.8694716725194362
56,-0.8911505605517419
57,-0.9116217661110083
58,-0.9309002660088719
59,-0.9490125677833597
60,-0.9659966135718505
61,-0.9819013891248648
62,-0.9967860584450269
63,-1.0107188173137815
64,-1.0237752070065198
65,-1.0360361103277471
66,-1.0475852601945133
67,-1.058506517931208
68,-1.0688810258421655
69,-1.0787845174525597
70,-1.0882850566584643
71,-1.0974413864312023
72,-1.106301967052627
73,-1.1149046096041169
74,-1.1232764187301816
75,-1.1314336746932598
76,-1.1393817296910154
77,-1.1471152655638148
78,-1.1546194776993743
79,-1.161872759262389
80,-1.168850738377968
81,-1.175530867712656
82,-1.181896513050964
83,-1.1879393192775867
84,-1.1936596003122264
85,-1.199064871249994
86,-1.2041675716184757
87,-1.2089828388217039
88,-1.2135269071332857
89,-1.2178160532807705
90,-1.2218659512904186
91,-1.2256911749730781
92,-1.229305144260578
93,-1.2327204195301025
94,-1.2359492723974188
95,-1.2390041235839435
96,-1.2418976479109054
97,-1.2446425535455377
98,-1.2472509833172505
99,-1.2497335863656516
100,-1.2520985473854416
101,-1.2543508759459145
102,-1.2564923649243211
103,-1.2585222102669613
104,-1.2604382350155787
105,-1.262238408317402
106,-1.2639222807331232
107,-1.2654919877590973
108,-1.2669525117582001
109,-1.2683111829165883
110,-1.2695766297937516
111,-1.2707576127022078
112,-1.2718620833901597
113,-1.27289663097044
114,-1.27386632376952
115,-1.2747748948650517
116,-1.2756251549589739
117,-1.276419388380291
118,-1.277159739129297
119,-1.277848378074991
120,-1.2784876103538279
121,-1.2790798304290805
122,-1.279627469917842
123,-1.280132844621584
124,-1.2805981537858224
125,-1.2810254694593721
126,-1.2814168245968065
127,-1.2817742624983495
128,-1.2820998789514158
129,-1.2823958942584468
130,-1.2826646201926628
131,-1.2829084344994743
132,-1.2831297204857282
133,-1.2833307875915287
134,-1.2835138146689504
135,-1.2836807821846685
136,-1.2838334487163305
137,-1.2839733334774188
138,-1.2841017546974203
139,-1.284219847797443
140,-1.284328593197413
141,-1.2844288951075016
142,-1.2845215843310525
143,-1.28460745223109
144,-1.2846872668502523
145,-1.2847617605202273
146,-1.284831619890458
147,-1.284897460850672
148,-1.2849598365042005
149,-1.2850191902120482
150,-1.28507589103718
