protein,lysate,lysate_MgCl2,joint
P02413-(RPLO)_sample_1,1.4977419987917637,1.355878030733193,1.910776726727165
P02413-(RPLO)_sample_10,1.7281691653647588,1.3711884215843138,1.9762866151638017
P02413-(RPLO)_sample_2,1.2823947936043818,1.288463573145472,1.8464102871584507
P02413-(RPLO)_sample_3,1.4560025958159406,1.2068786075032965,1.8158163637180584
P02413-(RPLO)_sample_4,1.3454919928471971,1.5581791193184595,1.9401397315054907
P02413-(RPLO)_sample_5,0.9929128469977048,1.045824850133663,1.5572107907792139
P02413-(RPLO)_sample_6,1.3536802074856198,1.352110872811351,1.9070685447661555
P02413-(RPLO)_sample_7,1.397425805394569,1.4193002801184538,1.9491468108031398
P02413-(RPLO)_sample_8,1.345859964674849,1.2895225301331208,1.872855938343406
P02413-(RPLO)_sample_9,1.2926135265072687,1.3284294704537738,1.8218024300092261
P02931-(OMPF)_sample_1,0.9289328616482065,1.0534207988461215,1.352649367795019
P02931-(OMPF)_sample_10,0.8072495438864699,1.142446312607491,1.3377187773197472
P02931-(OMPF)_sample_2,0.8982755702218683,1.1372844626200513,1.3213734463903724
P02931-(OMPF)_sample_3,0.8780646176691288,0.9120585951279744,1.3159914336857554
P02931-(OMPF)_sample_4,1.1353587616246845,1.0884262997354819,1.460553933631412
P02931-(OMPF)_sample_5,0.7370273105941347,0.9134583547345049,1.2022804593390712
P02931-(OMPF)_sample_6,0.9087337688224187,1.0045093528163458,1.3555599770440887
P02931-(OMPF)_sample_7,1.1141231538661216,0.9911035425894383,1.391974148095629
P02931-(OMPF)_sample_8,1.0943780654089261,1.235903162522987,1.5492673892120215
P02931-(OMPF)_sample_9,0.7900382220264753,0.9637634171087572,1.2070812186488724
P02943-(LAMB)_sample_1,0.6425389166402891,0.7030540254721569,1.018876648407713
P02943-(LAMB)_sample_10,0.8817130899929653,0.9633124712801585,1.241482484421773
P02943-(LAMB)_sample_2,0.8083242028986655,0.7905221879935415,1.1024626966217832
P02943-(LAMB)_sample_3,1.0458883126292946,0.7083020222874536,1.1467887702719508
P02943-(LAMB)_sample_4,0.9325400883725333,0.8243241269009903,1.179031423444755
P02943-(LAMB)_sample_5,0.9541155437438833,0.9529079374160295,1.1655193803200172
P02943-(LAMB)_sample_6,1.0641880167766293,0.7380051647175235,1.192924436032181
P02943-(LAMB)_sample_7,0.7509690147112791,0.8799295107184069,1.1523230279974688
P02943-(LAMB)_sample_8,0.93335107485335,0.9116252959328663,1.2653004702819999
P02943-(LAMB)_sample_9,0.9732947888458809,0.9502893797249287,1.2536288931549213
P03004-(DNAA)_sample_1,1.5995839491744581,1.6339273859761476,2.2437819395527825
P03004-(DNAA)_sample_10,1.864543615570488,1.861626699669125,2.414014485314018
P03004-(DNAA)_sample_2,1.6321562589026128,1.6720020718893502,2.233715394451194
P03004-(DNAA)_sample_3,1.7112545221957849,1.6021597877198113,2.171613433191567
P03004-(DNAA)_sample_4,1.761534998988389,1.5568899216084362,2.230214086219046
P03004-(DNAA)_sample_5,1.5536484009815994,1.9363890998199216,2.161378403662999
P03004-(DNAA)_sample_6,1.8850075091660694,1.6923920483645845,2.283358646531273
P03004-(DNAA)_sample_7,1.8431782913276058,1.8370243697541915,2.3794818393324735
P03004-(DNAA)_sample_8,1.4079974212399076,1.4268028284567236,2.037813172990545
P03004-(DNAA)_sample_9,1.8133256126085897,1.7008602873579326,2.39297645911913
P03023-(LACI)_sample_1,1.9605517053721713,1.9447695275644346,2.5760214088519526
P03023-(LACI)_sample_10,1.6613563830487692,2.0248288907066123,2.33190016388767
P03023-(LACI)_sample_2,1.6554872694784601,1.9505828931704954,2.4238444604531177
P03023-(LACI)_sample_3,1.7775016312327787,1.8507633540827024,2.3232155446947456
P03023-(LACI)_sample_4,1.6250440659496268,1.840888034540906,2.371020221288965
P03023-(LACI)_sample_5,1.9249514181383953,1.6716087798236694,2.3849385682050785
P03023-(LACI)_sample_6,1.6772811912436254,1.6648876625817375,2.3414974979027616
P03023-(LACI)_sample_7,1.7870321971432674,1.8626858215855246,2.3912362347789413
P03023-(LACI)_sample_8,1.6524467901917934,1.585673771311858,2.263863382087061
P03023-(LACI)_sample_9,1.5355238904630568,1.6947201931009175,2.230000184416634
P03813-(YGEA)_sample_1,0.9483802939045896,0.9509959410250999,1.278177963889701
P03813-(YGEA)_sample_10,0.8081274075157011,0.9218466817769796,1.2595192408528268
P03813-(YGEA)_sample_2,0.8325917048167918,0.7422039597259408,1.1636018824524073
P03813-(YGEA)_sample_3,1.1402941131061042,0.8675337520127664,1.270578297658132
P03813-(YGEA)_sample_4,1.1476933056193261,1.1936082310632468,1.5716755025010405
P03813-(YGEA)_sample_5,1.10580451589081,0.9537421145508035,1.4170604017555244
P03813-(YGEA)_sample_6,1.0439974987739675,1.2474224136054928,1.4289890405231431
P03813-(YGEA)_sample_7,1.0132882473436253,1.1794587769508562,1.3205028437604487
P03813-(YGEA)_sample_8,0.9424578261505453,0.9869738018216967,1.3527231462295337
P03813-(YGEA)_sample_9,0.9616501964829142,1.0401981449936812,1.3779430459753201
P04425-(GSHB)_sample_1,0.9862204249999369,1.2658289872589885,1.7204180122515917
P04425-(GSHB)_sample_10,1.0296289618115821,0.9609458606328117,1.633151587984263
P04425-(GSHB)_sample_2,1.0038838545704138,0.8337669201631901,1.5122501000822235
P04425-(GSHB)_sample_3,1.1872424568119138,1.097174159209238,1.6667310968208482
P04425-(GSHB)_sample_4,1.0157870585206519,1.2230457796666139,1.6885933009844971
P04425-(GSHB)_sample_5,1.229076778004827,1.1355120225298359,1.6853107966429666
P04425-(GSHB)_sample_6,1.3279343590554191,1.0498297321620778,1.7398973848487675
P04425-(GSHB)_sample_7,1.042615916303861,1.1074348854539096,1.636382731596512
P04425-(GSHB)_sample_8,1.3135131222611647,1.2693112423930393,1.8645476742193674
P04425-(GSHB)_sample_9,0.9688870266705322,0.9213475991975172,1.5311038354760693
P04982-(RBSD)_sample_1,1.1877208902793237,1.2598597251529606,1.5396780594292059
P04982-(RBSD)_sample_10,1.0335782396435467,1.3275190140501323,1.5076896324998936
P04982-(RBSD)_sample_2,0.990362240156215,1.4775460863403196,1.604662234034566
P04982-(RBSD)_sample_3,1.2005277246513506,1.1811996627288077,1.5684143713952126
P04982-(RBSD)_sample_4,1.2732244625274471,1.30290006643271,1.635405901318515
P04982-(RBSD)_sample_5,1.1437286368590174,1.1415529227473646,1.517153465818835
P04982-(RBSD)_sample_6,1.042296285467448,1.1061438125428547,1.4611005129097667
P04982-(RBSD)_sample_7,1.139501408475574,1.14022200753502,1.5107192454098661
P04982-(RBSD)_sample_8,1.1059879550736051,1.154742566145974,1.4542823725803435
P04982-(RBSD)_sample_9,1.2039759151515397,1.238229342488798,1.5650467983735343
P05793-(ILVC)_sample_1,1.594600768855265,1.5490283865948176,2.2154383805378064
P05793-(ILVC)_sample_10,1.426241300004828,1.4881415654918788,2.146591120959336
P05793-(ILVC)_sample_2,1.5806646291069748,1.556964775468154,2.144588280070802
P05793-(ILVC)_sample_3,1.5428047989804676,1.565009510291198,2.1874301996530443
P05793-(ILVC)_sample_4,1.3983177746573239,1.6901690099575286,2.1572958042675334
P05793-(ILVC)_sample_5,1.4806379200896027,1.4634761491261945,2.092317799101616
P05793-(ILVC)_sample_6,1.4956800468229028,1.626087281342742,2.121891645396806
P05793-(ILVC)_sample_7,1.3899499005271698,1.5387035060215217,2.0513346386362685
P05793-(ILVC)_sample_8,1.830229056506261,1.476666257378551,2.233168291518516
P05793-(ILVC)_sample_9,1.4126048575322272,1.6537446603164683,2.1218556475835557
P06136-(FTSQ)_sample_1,1.571523102266453,1.594918274937989,2.088100095966955
P06136-(FTSQ)_sample_10,1.4748428302455916,1.4467217075195318,2.0352733673891352
P06136-(FTSQ)_sample_2,1.4242703499168494,1.2405891070637034,1.8661475970351555
P06136-(FTSQ)_sample_3,1.4514624854583669,1.6458279734621082,2.079071439091019
P06136-(FTSQ)_sample_4,1.5008406648795007,1.4639977826398762,1.9995898460629642
P06136-(FTSQ)_sample_5,1.4145339348933494,1.5654448931895681,2.0217326587188382
P06136-(FTSQ)_sample_6,1.4935564371530892,1.7171418968346885,2.039580784645031
P06136-(FTSQ)_sample_7,1.286835127707233,1.5737288620119823,1.9786148496855664
P06136-(FTSQ)_sample_8,1.3945905352136743,1.5464963668710003,1.9660215387455442
P06136-(FTSQ)_sample_9,1.4792461735283666,1.522116711748158,2.068969823841972
P06710-(DNAX)_sample_1,1.7853480119253091,1.6448266665244882,2.2317527086478295
P06710-(DNAX)_sample_10,1.6567513192557437,1.9217666723106541,2.1321624006262785
P06710-(DNAX)_sample_2,1.4093174960690125,1.5174124469851507,2.0967676031798015
P06710-(DNAX)_sample_3,1.6654383473981207,1.7339765374880032,2.180862934985917
P06710-(DNAX)_sample_4,1.735937391090629,1.6833095879089361,2.2021784747540263
P06710-(DNAX)_sample_5,1.6322291970643632,1.6784802376944843,2.141886200274973
P06710-(DNAX)_sample_6,1.5764532141926357,1.5652625823758144,2.124664039123232
P06710-(DNAX)_sample_7,1.3997536712771894,1.6266345249725902,2.151423593546047
P06710-(DNAX)_sample_8,1.4195991022444971,1.5443593553605468,2.1039445116044195
P06710-(DNAX)_sample_9,1.539466553317235,1.3420364248119308,2.067850140352021
P06968-(DUT)_sample_1,0.29230065130205307,0.3219091262556801,0.7382967895622455
P06968-(DUT)_sample_10,0.8385493007254301,0.8651320230917698,1.1146692161470237
P06968-(DUT)_sample_2,0.5753590152104511,0.5620869040213109,0.8964817532441466
P06968-(DUT)_sample_3,0.7771755288691777,0.697732152874371,1.0041018959923174
P06968-(DUT)_sample_4,0.4095875838701653,0.6018829832516439,0.885512164166476
P06968-(DUT)_sample_5,0.6054528274273431,0.7710509246526576,1.0182572267048302
P06968-(DUT)_sample_6,0.5942317513822061,0.5250765833778472,0.9254647070356605
P06968-(DUT)_sample_7,0.904049457952847,0.6635874879305882,1.0558469267443877
P06968-(DUT)_sample_8,0.7650599675042927,0.5770287608408756,0.8891044862921891
P06968-(DUT)_sample_9,0.6025776595650291,0.6361469583006194,0.9147067830725074
P07013-(PRIB)_sample_1,2.018437145668947,1.5259494825969744,2.2405226440638804
P07013-(PRIB)_sample_10,1.561949481706239,1.5091402467108783,2.1166060160390097
P07013-(PRIB)_sample_2,1.5926585006905687,1.63971940698609,2.194945196859044
P07013-(PRIB)_sample_3,1.508250542111233,1.6596403777262296,2.0365500648473804
P07013-(PRIB)_sample_4,1.783267844084034,1.7877507998332927,2.2678006801422366
P07013-(PRIB)_sample_5,1.6383549516529092,1.6762169786299645,2.116025931082989
P07013-(PRIB)_sample_6,1.5673370105455404,1.4496225431426557,2.058100896127418
P07013-(PRIB)_sample_7,1.5538738857697885,1.4648357630907725,2.064646730716144
P07013-(PRIB)_sample_8,1.705569666695637,1.6882806120480847,2.2540166789895277
P07013-(PRIB)_sample_9,1.6127260071411296,1.3362768317710978,2.1466235906745075
P07639-(AROB)_sample_1,1.5826940261707412,1.7479665786859973,2.209275806205135
P07639-(AROB)_sample_10,1.5965486936153028,1.6897030835204532,2.2251595258151107
P07639-(AROB)_sample_2,1.751511511991239,1.8719652807836018,2.37625530797411
P07639-(AROB)_sample_3,1.5307298225925667,1.4639062136931236,2.044503745421188
P07639-(AROB)_sample_4,1.594927699763573,1.4920220184769055,2.069197607723655
P07639-(AROB)_sample_5,1.7238691126762342,1.4851823483678663,2.1830439630282266
P07639-(AROB)_sample_6,1.561411781754783,1.575008200977336,2.112718378984317
P07639-(AROB)_sample_7,1.5223723382906584,1.5708035330145895,2.0336472093112246
P07639-(AROB)_sample_8,1.6790029773522188,1.4895723995533312,2.162966776187326
P07639-(AROB)_sample_9,1.6778250452370245,1.5329958627776,2.1849532083638636
P08956-(HSDR)_sample_1,1.4502910699902107,1.5634589713686764,2.1114005356217804
P08956-(HSDR)_sample_10,1.3957264897334398,1.3073340002656475,1.9451258659048245
P08956-(HSDR)_sample_2,1.374468537844568,1.7802778624075004,2.148111675991282
P08956-(HSDR)_sample_3,1.6801287659053008,1.4687750301779148,2.15736484712407
P08956-(HSDR)_sample_4,1.5417694099871062,1.4966521493745166,2.0713523659288584
P08956-(HSDR)_sample_5,1.402429194910449,1.396134542373646,1.959473385666334
P08956-(HSDR)_sample_6,1.3285995985329615,1.4853593796339462,2.042137729436868
P08956-(HSDR)_sample_7,1.4445052533546687,1.4869275329381244,2.11013568878311
P08956-(HSDR)_sample_8,1.5338026050344349,1.46833682288879,2.1269736461513777
P08956-(HSDR)_sample_9,1.3889432199683043,1.2988208609880867,1.9346115950550364
