,condition,uniqueID,y,x
99,MgCl2,P00363-(FRDA),0.0495874725034604,87.0
100,MgCl2,P00363-(FRDA),1.0,37.0
101,MgCl2,P00363-(FRDA),1.068390433828495,40.4
102,MgCl2,P00363-(FRDA),1.0288715610265646,46.9
103,MgCl2,P00363-(FRDA),0.8438965368430007,52.9
104,MgCl2,P00363-(FRDA),0.6639645658248243,58.6
105,MgCl2,P00363-(FRDA),0.4583199313533932,62.8
106,MgCl2,P00363-(FRDA),0.054677090342735,69.0
107,MgCl2,P00363-(FRDA),0.0458821221840596,74.8
108,MgCl2,P00363-(FRDA),0.0465751963243153,80.5
109,MgCl2,P00363-(FRDA),0.04396691625489,87.0
110,MgCl2,P00363-(FRDA),1.0,37.0
111,MgCl2,P00363-(FRDA),1.0620885865249037,40.4
112,MgCl2,P00363-(FRDA),1.0437696953886402,46.9
113,MgCl2,P00363-(FRDA),0.8715454275529977,52.9
114,MgCl2,P00363-(FRDA),0.632807110867887,58.6
115,MgCl2,P00363-(FRDA),0.4848404763532066,62.8
116,MgCl2,P00363-(FRDA),0.0750408480654779,69.0
117,MgCl2,P00363-(FRDA),0.0646117068653769,74.8
118,MgCl2,P00363-(FRDA),0.0666915347133135,80.5
119,MgCl2,P00363-(FRDA),0.0604656926756478,87.0
120,lysate,P00370-(GDHA),1.0,37.0
121,lysate,P00370-(GDHA),1.0752125238425665,40.4
122,lysate,P00370-(GDHA),1.0156514655653497,46.9
123,lysate,P00370-(GDHA),0.8337841944228056,52.9
124,lysate,P00370-(GDHA),0.6931504506580565,58.6
125,lysate,P00370-(GDHA),0.399190628538517,62.8
126,lysate,P00370-(GDHA),0.0681736459233772,69.0
127,lysate,P00370-(GDHA),0.0650787870371538,74.8
128,lysate,P00370-(GDHA),0.0470511318454323,80.5
129,lysate,P00370-(GDHA),0.0477146957162425,87.0
130,lysate,P00370-(GDHA),1.0,37.0
131,lysate,P00370-(GDHA),1.0516963165399265,40.4
132,lysate,P00370-(GDHA),1.0004861347755598,46.9
133,lysate,P00370-(GDHA),0.88678422928063,52.9
134,lysate,P00370-(GDHA),0.7579353141451055,58.6
135,lysate,P00370-(GDHA),0.5026553900827876,62.8
136,lysate,P00370-(GDHA),0.0791519829282295,69.0
137,lysate,P00370-(GDHA),0.0657010193959625,74.8
138,lysate,P00370-(GDHA),0.048340362604675,80.5
139,lysate,P00370-(GDHA),0.0458353424132161,87.0
140,lysate,P00370-(GDHA),1.0,37.0
