condition,uniqueID,y,x
staurosporine,ACADM_IPI00513827,0.999686866317176,40
staurosporine,ACADM_IPI00513827,0.932941228683078,43
staurosporine,ACADM_IPI00513827,0.730332361938125,46
staurosporine,ACADM_IPI00513827,0.524207167922087,49
staurosporine,ACADM_IPI00513827,0.289894763944052,52
staurosporine,ACADM_IPI00513827,0.110416522953394,55
staurosporine,ACADM_IPI00513827,0.0625182966045505,58
staurosporine,ACADM_IPI00513827,0.0600486361424507,61
staurosporine,ACADM_IPI00513827,0.0528557558707605,64
staurosporine,ACADM_IPI00513827,0.043875417694137,67
staurosporine,ACADM_IPI00513827,0.999686866317176,40
staurosporine,ACADM_IPI00513827,0.911076515697958,43
staurosporine,ACADM_IPI00513827,0.74512137797127,46
staurosporine,ACADM_IPI00513827,0.483058524185946,49
staurosporine,ACADM_IPI00513827,0.285272301145067,52
staurosporine,ACADM_IPI00513827,0.115854216441453,55
staurosporine,ACADM_IPI00513827,0.0621207716192232,58
staurosporine,ACADM_IPI00513827,0.0491749372378237,61
staurosporine,ACADM_IPI00513827,0.0460494860166019,64
staurosporine,ACADM_IPI00513827,0.0385276715648473,67
vehicle,ACADM_IPI00513827,0.999686866317176,40
vehicle,ACADM_IPI00513827,1.00161027404076,43
vehicle,ACADM_IPI00513827,0.822547715511596,46
vehicle,ACADM_IPI00513827,0.654570099577188,49
vehicle,ACADM_IPI00513827,0.345074119696845,52
vehicle,ACADM_IPI00513827,0.128641257091559,55
vehicle,ACADM_IPI00513827,0.0789357983326325,58
vehicle,ACADM_IPI00513827,0.0523825341042623,61
vehicle,ACADM_IPI00513827,0.0604106207987489,64
vehicle,ACADM_IPI00513827,0.0420444069603866,67
vehicle,ACADM_IPI00513827,0.999686866317176,40
vehicle,ACADM_IPI00513827,0.942202030125969,43
vehicle,ACADM_IPI00513827,0.729143629617174,46
vehicle,ACADM_IPI00513827,0.485163563674284,49
vehicle,ACADM_IPI00513827,0.301598091351886,52
vehicle,ACADM_IPI00513827,0.10717684901742,55
